PDB	CHAIN	Uniprot_ID	LENGTH	RESOLUTION	PDB_BEG	PDB_END
1niw	B	P29474	19	2.05	492	510
1niw	D	P29474	19	2.05	492	510
1niw	F	P29474	19	2.05	492	510
1niw	H	P29474	19	2.05	492	510
1nk1	A	P14210	172	2.5	38	209
1nk1	B	P14210	172	2.5	38	209
1nvv	Q	P01112	166	2.18	1	166
1nvv	R	P01112	166	2.18	1	166
1nvv	S	Q07889	469	2.18	566	590	597	743	750	1046
1nwr	A	P36222	362	2.7	22	383
1nwr	B	P36222	362	2.7	22	383
1nwr	C	P36222	362	2.7	22	383
1nwr	D	P36222	362	2.7	22	383
1nyx	A	P37231	260	2.65	202	261	277	476
1nyx	B	P37231	258	2.65	207	268	277	461	466	476
1o86	A	P12821	575	2	40	434	439	618
1o8a	A	P12821	575	2	40	434	439	618
1obz	A	O00560	161	1.7	113	273
1obz	B	O00560	160	1.7	113	272
1okl	A	P00918	255	2.1	5	259
1oki	A	P53674	183	1.4	54	236
1oki	B	P53674	184	1.4	54	237
1nzz	A	P05091	494	2.45	7	500
1nzz	B	P05091	494	2.45	7	500
1nzz	C	P05091	494	2.45	7	500
1nzz	D	P05091	494	2.45	7	500
1nzz	E	P05091	494	2.45	7	500
1nzz	F	P05091	494	2.45	7	500
1nzz	G	P05091	494	2.45	7	500
1nzz	H	P05091	494	2.45	7	500
1owa	A	P02549	156	None	1	156
1p8v	A	P07359	278	2.6	1	278
1p8v	B	P00734	29	2.6	1	29
1p8v	C	P00734	250	2.6	1	146	155	258
1p97	A	Q99814	111	None	4	114
1pkt	A	P27986	76	None	4	79
1pkw	A	P08263	221	2	2	222
1pkw	B	P08263	221	2	2	222
1q02	A	Q13501	50	None	3	52
1q1c	A	Q02790	237	1.9	21	257
1q1q	A	O00204	278	2.91	12	95	103	296
1pzu	B	Q13469	276	3.1	399	571	576	678
1pzu	D	Q13469	276	3.1	399	571	576	678
1pzu	H	Q13469	276	3.1	399	571	576	678
1pzu	I	Q13469	276	3.1	399	571	576	678
1pzu	L	Q13469	276	3.1	399	571	576	678
1pzu	M	Q13469	276	3.1	399	571	576	678
1q38	A	P02751	75	None	5	79
1qcy	A	P56199	193	2.3	141	333
1qew	A	P04439	275	2.2	1	275
1qew	B	P61769	99	2.2	1	99
1qr1	A	P04439	275	2.4	1	275
1qr1	B	P61769	100	2.4	0	99
1qr1	C	P04626	9	2.4	1	9
1qr1	D	P04439	275	2.4	1	275
1qr1	E	P61769	100	2.4	0	99
1qr1	F	P04626	9	2.4	1	9
1qty	T	P17948	94	2.7	132	225
1qty	U	P17948	94	2.7	132	225
1qty	X	P17948	94	2.7	132	225
1qty	Y	P17948	94	2.7	132	225
1rg2	A	Q9NUW8	425	2.1	162	386	391	424	435	559	568	608
1rg2	B	Q9NUW8	434	2.1	159	424	434	559	567	608
1rg1	A	Q9NUW8	424	2.1	162	386	391	424	435	559	569	608
1rg1	B	Q9NUW8	429	2.1	162	424	435	560	568	607
1rho	A	P52565	145	2.5	59	203
1rho	B	P52565	145	2.5	59	203
1rho	C	P52565	137	2.5	67	203
1r4c	A	P01034	110	2.18	11	120
1r4c	B	P01034	110	2.18	11	120
1r4c	C	P01034	110	2.18	11	120
1r4c	D	P01034	110	2.18	11	120
1r4c	E	P01034	110	2.18	11	120
1r4c	F	P01034	110	2.18	11	120
1r4c	G	P01034	110	2.18	11	120
1r4c	H	P01034	110	2.18	11	120
1rt9	A	P00491	282	2.3	3	284
1rwk	A	P29466	173	2.3	125	297
1rwk	B	P29466	88	2.3	317	404
1s6o	A	Q04656	72	None	1	72
1s8d	A	P04439	275	2.2	1	275
1s8d	B	P61769	99	2.2	1	99
1s9w	A	P04439	274	2.2	1	274
1s9w	B	P61769	99	2.2	1	99
1shj	A	P55210	208	2.8	57	190	209	226	237	273	285	303
1shj	B	P55210	209	2.8	55	188	209	227	238	275	286	303
1s9v	A	P01909	179	2.22	2	180
1s9v	B	P01920	181	2.22	3	105	113	190
1s9v	D	P01909	177	2.22	2	178
1s9v	E	P01920	180	2.22	3	104	113	190
1shl	A	P55210	198	3	57	186	213	226	237	273	287	303
1shl	B	P55210	200	3	57	188	213	227	238	273	287	303
1sac	A	P02743	204	2	1	204
1sac	B	P02743	204	2	1	204
1sac	C	P02743	204	2	1	204
1sac	D	P02743	204	2	1	204
1sac	E	P02743	204	2	1	204
1shy	A	P14210	228	3.22	495	722
1shy	B	P08581	499	3.22	40	301	311	377	382	400	414	564
1sl3	A	P00734	242	1.81	1	14	16	146	150	246
1sxs	A	P00442	151	2	1	151
1sxs	B	P00442	151	2	1	151
1sxn	A	P00442	151	1.9	1	151
1sxn	B	P00442	151	1.9	1	151
1szx	A	P04179	198	1.95	1	198
1szx	B	P04179	198	1.95	1	198
1t0j	C	Q13936	16	2	428	443
1t08	A	P35222	510	2.1	146	549	559	664
1t08	C	P25054	15	2.1	1484	1498
1t15	A	P38398	211	1.85	1649	1859
1t15	B	Q9BX63	8	1.85	6	13
1t1f	A	P01008	419	2.75	2	24	37	432
1t1f	B	P01008	419	2.75	2	24	37	432
1t1f	C	P01008	419	2.75	2	24	37	432
1tay	A	P61626	130	1.7	1	130
1tbt	X	P00918	259	2	3	261
1tby	A	P61626	130	1.77	1	130
1tb7	A	Q08499	321	1.63	87	292	297	411
1tb7	B	Q08499	326	1.63	86	411
1ttm	A	P00918	259	1.95	3	261
1ttc	A	P02766	127	1.7	1	127
1ttc	B	P02766	127	1.7	1	127
1tu6	A	P43235	215	1.75	115	329
1tu6	B	P43235	215	1.75	115	329
1u30	A	P04746	496	1.9	1	496
1tup	A	P04637	196	2.2	94	289
1tup	B	P04637	194	2.2	96	289
1tup	C	P04637	195	2.2	95	289
1uew	A	Q86UL8	101	None	8	108
1u5b	A	P12694	391	1.83	6	301	306	400
1u5b	B	P21953	329	1.83	14	342
1ufw	A	O15056	82	None	8	89
1ufu	A	Q8NHL6	171	3	2	28	32	136	144	147	154	161	164	164	170	195
1ugg	A	P00918	259	2.2	3	261
1ugd	A	P00918	259	2	3	261
1ugn	A	Q8NHL6	186	1.8	1	136	143	147	154	198
1ugh	E	P13051	220	1.9	85	304
1uhf	A	Q9NZM3	56	None	8	63
1uj3	C	P13726	205	2.1	606	810
1us1	A	Q16853	704	2.9	55	201	205	761
1us1	B	Q16853	699	2.9	57	202	204	741	747	761
1uwy	A	P14384	394	3	1	381	391	403
1v82	A	Q9P2W7	247	1.85	83	156	162	334
1v82	B	Q9P2W7	241	1.85	82	150	163	334
1v9u	5	P98155	39	3.6	113	151
1vd4	A	P29083	62	None	113	174
1w08	A	P61626	130	2.5	1	130
1w0y	H	P08709	243	2.5	16	170	170	257
1w0y	L	P08709	142	2.5	1	142
1w0y	T	P13726	188	2.5	6	28	33	79	91	159	162	210
1w2r	A	P20023	134	None	4	137
1wbg	A	P00734	15	2.2	1	15
1wbg	B	P00734	229	2.2	16	146	150	247
1wqo	A	P61626	130	1.8	1	130
1x0j	A	P25440	114	1.8	73	186
1x0j	B	P25440	112	1.8	73	184
1x0j	C	P25440	107	1.8	76	182
1x0x	A	P21695	349	2.75	1	349
1x1f	A	Q9ULZ2	136	None	8	143
1x3c	A	O60281	60	None	8	67
1x2p	A	P55345	55	None	8	62
1x8b	A	P30291	259	1.81	291	435	456	569
1x96	A	P15121	316	1.4	0	315
1x97	A	P15121	316	1.4	0	315
1x9d	A	Q9UKM7	452	1.41	245	675	677	697
1xjv	A	Q9NUX5	291	1.73	6	145	149	299
1xcr	A	Q9H0W9	313	1.7	3	315
1xcr	B	Q9H0W9	313	1.7	3	315
1xcg	A	O15085	355	2.5	714	1007	1021	1081
1xcg	E	O15085	358	2.5	714	1010	1021	1081
1xm1	A	P00734	244	2.3	1	14	16	245
1xm4	A	Q07343	323	2.31	163	485
1xm4	B	Q07343	323	2.31	163	485
1xlz	A	Q07343	323	2.06	163	485
1xlz	B	Q07343	323	2.06	163	485
1xm6	A	Q07343	338	1.92	163	485	499	513
1xm6	B	Q07343	334	1.92	163	485	501	511
1xv7	A	P02788	11	None	1	11
1xwe	A	P01031	147	None	1512	1658
1xuc	A	P45452	169	1.7	104	272
1xuc	B	P45452	166	1.7	104	269
1xx0	A	P08567	117	None	234	350
1xxf	A	P03951	229	2.6	16	244
1xxf	B	P03951	229	2.6	16	244
1y2h	A	Q07343	323	2.4	163	485
1y2h	B	Q07343	323	2.4	163	485
1y2k	A	Q08499	326	1.36	86	411
1y2k	B	Q08499	322	1.36	86	292	297	411
1xbs	A	Q9NX01	137	2.5	1	137
1y5f	B	P68871	146	2.14	1	146
1y5f	D	P68871	146	2.14	1	146
1y6n	R	Q13651	202	2.7	2	203
1y7v	A	P04062	497	2.4	1	497
1y7v	B	P04062	497	2.4	1	497
1y7g	B	P68871	146	2.1	1	146
1y7g	D	P68871	146	2.1	1	146
1ydk	A	P08263	207	1.95	3	209
1ydk	B	P08263	219	1.95	4	222
1ye1	B	P68871	146	4.5	1	146
1ye1	D	P68871	146	4.5	1	146
1yi4	A	P11309	269	2.4	33	79	84	305
1ygf	B	P68871	146	2.7	1	146
1ygf	D	P68871	146	2.7	1	146
1y6m	R	Q13651	204	2.8	3	206
1yqb	A	Q9H347	80	2	19	98
1ypm	H	P00734	228	1.85	16	147	150	245
1ypm	L	P00734	14	1.85	1	14
1ygr	A	P08575	574	2.9	599	963	990	1127	1135	1205
1ygr	B	P08575	574	2.9	600	965	990	1124	1136	1208
1yie	B	P68871	146	2.4	1	146
1yie	D	P68871	146	2.4	1	146
1yov	A	Q13564	529	2.6	6	534
1yov	C	Q13564	526	2.6	9	534
1z6j	H	P08709	242	2	16	257
1z6j	L	P08709	142	2	1	142
1z6j	T	P13726	207	2	1	86	91	211
1zgi	A	P00734	242	2.2	1	14	16	146	150	246
1z10	A	P11509	465	1.9	30	494
1z10	B	P11509	463	1.9	32	494
1z10	C	P11509	464	1.9	31	494
1z10	D	P11509	464	1.9	31	494
1z6t	A	O14727	576	2.21	1	94	105	586
1z6t	B	O14727	586	2.21	1	586
1z6t	C	O14727	586	2.21	1	586
1z6t	D	O14727	576	2.21	1	94	105	586
1zhm	A	P03951	229	1.96	16	244
1ziv	A	O14815	308	2.31	28	58	61	337
1z29	A	P50226	281	2.4	8	65	73	295
1zjd	A	P03951	229	2.6	16	244
1zjd	B	P05067	57	2.6	3	59
1zs6	A	Q13232	152	2.3	18	169
1zs6	B	Q13232	152	2.3	18	169
1zs6	D	Q13232	152	2.3	18	169
1zsq	A	Q13614	513	1.82	73	585
1zv6	A	Q08495	65	None	12	76
1zuz	A	P0DP23	145	1.91	4	148
1zvq	A	P01112	166	2	1	166
1zw6	A	P01112	166	1.5	1	166
1zvx	A	P22894	163	1.87	80	242
1zxm	A	P11388	373	1.87	29	345	350	405
1zxm	B	P11388	378	1.87	29	345	351	411
2a3r	A	P0DMM9	287	2.6	9	295
2a3r	B	P0DMM9	287	2.6	9	295
2a4j	B	Q01831	17	None	1	17
1zxn	A	P11388	366	2.51	29	276	288	338	354	404	407	422
1zxn	B	P11388	379	2.51	29	276	287	344	352	424
1zxn	C	P11388	384	2.51	29	153	157	275	287	426
1zxn	D	P11388	371	2.51	29	276	287	342	352	374	377	408	414	425
2a5u	A	P48736	839	2.7	144	254	269	322	357	435	460	489	497	522	525	528	544	900	902	967	981	1092
2a4z	A	P48736	812	2.9	144	225	230	250	267	321	357	373	379	435	460	488	497	528	544	752	763	965	981	1087
2ado	A	Q14676	194	1.45	1892	2085
2ado	B	Q14676	195	1.45	1891	2085
2a3x	A	P02743	204	3	1	204
2a3x	B	P02743	204	3	1	204
2a3x	C	P02743	204	3	1	204
2a3x	D	P02743	204	3	1	204
2a3x	E	P02743	204	3	1	204
2a3x	F	P02743	204	3	1	204
2a3x	G	P02743	204	3	1	204
2a3x	H	P02743	204	3	1	204
2a3x	I	P02743	204	3	1	204
2a3x	J	P02743	204	3	1	204
2afx	A	Q16769	323	1.64	33	182	189	361
2afx	B	Q16769	323	1.64	33	182	189	361
2ag5	A	Q9BUT1	245	1.84	1	245
2ag5	B	Q9BUT1	244	1.84	2	245
2ag5	C	Q9BUT1	244	1.84	2	245
2ag5	D	Q9BUT1	244	1.84	2	245
2avg	A	Q14896	110	None	1	110
2av1	A	P04439	275	1.95	1	275
2av1	B	P61769	99	1.95	1	99
2av1	D	P04439	275	1.95	1	275
2av1	E	P61769	99	1.95	1	99
2b77	A	P02766	115	1.7	10	124
2b77	B	P02766	112	1.7	10	101	104	123
2b9a	A	P02766	108	1.54	10	97	104	123
2b9a	B	P02766	115	1.54	10	124
2bew	A	P12694	390	1.79	6	301	307	400
2bew	B	P21953	336	1.79	2	8	14	342
2bff	A	P12694	392	1.46	6	301	305	400
2bff	B	P21953	332	1.46	2	4	14	342
2bh9	A	P11413	489	2.5	27	515
2bin	A	P04637	183	1.9	97	116	121	165	171	181	185	291
2bim	A	P04637	195	1.98	96	290
2bim	B	P04637	195	1.98	96	290
2bst	A	P01889	276	2.1	1	276
2bst	B	P61769	99	2.1	1	99
2btb	A	P02730	15	None	1	15
2bva	A	O96013	273	2.3	300	328	334	353	362	465	468	587
2bva	B	O96013	275	2.3	301	330	334	354	362	465	468	587
2bvx	H	P00734	231	3.2	16	148	149	246
2bvx	L	P00734	16	3.2	0	15
2bub	A	P27487	728	2.66	39	766
2bub	B	P27487	728	2.66	39	766
2bxb	A	P02768	578	3.2	5	582
2bxb	B	P02768	578	3.2	5	582
2bwg	A	P36959	335	2.4	2	278	281	338
2bwg	B	P36959	329	2.4	2	256	261	278	282	337
2bwg	C	P36959	329	2.4	2	256	261	278	282	337
2bwg	D	P36959	328	2.4	2	256	261	278	283	337
2bxc	A	P02768	578	3.1	5	582
2bxc	B	P02768	578	3.1	5	582
2c47	A	P78368	289	2.4	44	52	59	338
2c47	B	P78368	290	2.4	44	52	58	338
2c47	C	P78368	283	2.4	46	52	59	177	181	337
2c47	D	P78368	290	2.4	43	52	58	198	200	338
2c6c	A	Q04609	682	2	57	333	338	540	547	654	657	750
2cbc	A	P00918	259	1.88	3	261
2cbz	A	P33527	230	1.5	642	871
2cez	A	P13726	19	None	1	19
2cef	A	P13726	19	None	1	19
2cok	A	P09874	100	None	8	107
2cp5	A	P30622	128	None	8	135
2czh	A	O14732	254	2.7	15	42	52	277
2czh	B	O14732	246	2.7	15	40	53	81	89	279
2d9k	A	O14545	62	None	8	69
2d9w	A	O60496	114	None	8	121
2da2	A	Q15911	57	None	8	64
2d1i	A	Q9Y4P1	339	2	10	190	216	373
2d1i	B	Q9Y4P1	339	2	10	190	216	373
2djy	B	O15105	15	None	203	217
2djf	A	P53634	118	2	1	118
2djf	B	P53634	161	2	207	367
2djf	C	P53634	68	2	372	439
2dkq	A	Q63HR2	147	None	8	154
2ddk	A	O14732	258	2.7	15	39	49	281
2ddk	B	O14732	249	2.7	15	39	52	82	88	280
2dlz	A	P52735	105	None	8	112
2d11	E	Q15599	18	2.81	320	337
2d11	F	Q15599	18	2.81	320	337
2d11	G	Q15599	17	2.81	321	337
2d11	H	Q15599	17	2.81	321	337
2dm3	A	Q8WX93	97	None	8	104
2dmi	A	Q63HK5	102	None	8	109
2dv0	A	P15121	314	1.62	2	315
2dyx	A	P24627	341	2	342	676	681	686
2dvr	A	P25440	114	2.3	7	120
2dvr	B	P25440	112	2.3	7	118
2dvr	C	P25440	107	2.3	10	116
2e6p	A	O75147	91	None	8	98
2e7g	A	Q8N0V3	117	None	85	201
2e7o	A	Q9UIF8	105	None	8	112
2eax	A	Q96LB8	164	2.1	210	373
2eax	B	Q96LB8	164	2.1	210	373
2eax	C	Q96LB8	164	2.1	210	373
2eav	A	Q96LB8	164	2.2	210	373
2eav	B	Q96LB8	164	2.2	210	373
2ege	A	Q9UFD9	68	None	8	75
2egq	A	Q13642	69	None	8	76
2eln	A	Q9P243	31	None	8	38
2eqn	A	Q96HR8	96	None	8	103
2etx	A	Q14676	194	1.33	1892	2085
2etx	B	Q14676	195	1.33	1891	2085
2f5y	A	P49796	78	2.39	18	95
2f5y	B	P49796	78	2.39	18	95
2f4b	A	P37231	271	2.07	207	477
2f4b	B	P37231	271	2.07	207	477
2fk2	A	P05067	57	1.65	133	189
2fk9	A	P24723	133	1.75	5	137
2feq	H	P00734	228	2.44	16	147	150	245
2feq	L	P00734	15	2.44	1	15
2fdb	M	P55075	147	2.28	34	180
2fdb	N	P55075	146	2.28	1034	1179
2fdb	P	P21802	197	2.28	2151	2294	2308	2360
2fdb	R	P21802	191	2.28	3151	3294	3308	3317	3324	3360
2flm	A	P02766	115	1.65	10	124
2flm	B	P02766	113	1.65	10	99	102	124
2flb	H	P08709	242	1.95	16	257
2flb	L	P08709	96	1.95	47	142
2flb	T	P13726	151	1.95	6	109	129	157	188	205
2flr	H	P08709	242	2.35	16	257
2flr	L	P08709	96	2.35	47	142
2flr	T	P13726	151	2.35	6	109	129	157	188	205
2ffd	A	P02671	65	2.89	126	190
2ffd	B	P02675	303	2.89	157	459
2ffd	D	P02671	57	2.89	133	189
2ffd	E	P02675	295	2.89	165	459
2f5z	A	P09622	472	2.18	3	474
2f5z	B	P09622	471	2.18	4	474
2f5z	C	P09622	472	2.18	3	474
2f5z	D	P09622	471	2.18	4	474
2f5z	E	P09622	472	2.18	3	474
2f5z	F	P09622	471	2.18	4	474
2f5z	G	P09622	472	2.18	3	474
2f5z	H	P09622	472	2.18	3	474
2f5z	I	P09622	470	2.18	3	262	265	474
2f5z	J	P09622	472	2.18	3	474
2f5z	K	O00330	43	2.18	130	172
2f5z	L	O00330	43	2.18	130	172
2f5z	M	O00330	43	2.18	130	172
