PDB_ID	ALA	ARG	ASN	ASP	CYS	GLU	GLN	GLY	HIS	ILE	LEU	LYS	MET	PHE	PRO	SER	THR	TRP	TYR	VAL
1aie	1	2	1	1	0	2	0	0	0	0	2	0	1	2	0	0	0	0	0	0
1aii	9	8	4	6	1	4	2	0	1	13	18	2	2	6	3	4	6	1	4	6
1aix	4	3	0	3	2	2	3	9	2	7	11	3	5	4	2	5	3	3	4	10
1aj9	2	2	2	0	2	1	3	1	2	0	8	2	0	4	4	0	2	1	2	7
1aje	9	1	3	4	5	7	2	5	2	5	13	9	1	8	5	3	10	1	6	17
1ajj	0	0	0	2	2	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0
1akj	12	7	2	7	5	5	9	5	8	4	16	7	4	12	5	13	16	8	13	7
1akz	5	1	3	2	2	0	3	5	5	3	11	5	0	2	1	4	4	4	4	9
1ald	10	4	4	1	3	7	6	8	1	10	10	5	1	4	5	9	5	1	4	7
1ale	1	1	1	2	0	2	0	1	0	0	2	2	0	1	0	0	1	0	0	0
1alf	1	1	0	0	0	2	0	0	0	0	0	2	0	2	0	2	1	1	0	1
1alg	4	0	0	2	1	1	2	4	0	0	2	1	2	1	0	0	1	0	0	2
1aly	4	2	2	1	2	1	4	1	2	3	6	3	0	4	1	6	4	1	2	7
1am4	7	4	6	5	0	8	8	4	3	6	8	8	1	7	4	7	9	1	3	9
1am6	5	3	4	1	1	3	2	3	5	5	11	5	1	8	3	3	5	4	2	8
1am9	0	2	2	1	0	1	1	0	0	3	1	4	0	0	0	2	0	0	1	0
1amb	0	0	0	0	0	1	1	0	2	0	1	1	0	2	0	0	0	0	1	2
1amc	1	1	0	0	0	1	1	1	2	0	1	2	0	3	0	1	0	0	1	2
1aml	3	1	1	3	0	3	1	6	3	2	2	2	1	3	0	2	0	0	1	6
1an0	3	0	3	3	2	4	0	2	0	2	8	4	0	5	1	3	6	1	4	11
1anp	1	2	0	0	1	0	1	1	0	1	0	0	0	1	0	3	0	0	0	0
1ant	9	5	5	4	0	8	4	6	1	11	20	8	5	16	4	12	7	1	3	11
1anw	3	7	2	6	0	5	5	3	1	7	14	3	3	4	3	8	7	0	3	11
1anx	4	4	4	4	1	7	1	2	2	5	11	10	3	4	1	5	9	0	6	4
1ao3	2	1	1	3	0	0	2	2	0	4	10	3	1	4	2	1	2	0	1	11
1ao6	19	11	5	11	16	24	9	4	4	5	17	20	3	11	7	10	3	0	6	9
1ao7	9	9	1	5	4	5	6	4	8	0	8	3	5	8	1	5	7	7	9	6
1aos	8	13	0	7	3	3	6	6	3	5	24	5	6	7	2	12	9	5	3	10
1aox	2	1	2	4	2	3	2	4	0	6	8	0	1	5	1	3	5	0	2	10
1ap4	2	1	1	7	1	5	2	1	0	4	4	2	6	5	0	0	0	0	0	6
1ap5	2	2	5	2	1	4	3	5	6	4	6	0	0	2	3	2	2	4	3	3
1ap6	8	2	3	4	1	4	7	8	0	3	9	4	0	3	3	2	5	3	2	4
1apj	3	1	0	1	6	2	3	5	1	3	3	4	0	1	2	5	0	1	1	1
1apy	9	6	2	5	2	3	1	6	2	7	6	3	4	4	3	6	5	0	4	7
1apz	9	6	2	6	1	4	1	7	2	6	6	3	5	4	3	6	7	0	4	7
1aqd	1	5	2	1	1	5	4	3	1	1	7	1	1	1	3	3	3	3	2	5
1ark	6	3	2	4	0	3	2	6	0	5	1	2	4	2	1	1	4	1	4	4
1as4	10	3	3	1	0	2	1	2	2	13	20	4	5	14	3	8	5	1	3	11
1ath	8	4	5	3	1	3	2	5	3	10	20	5	5	16	3	7	5	1	4	11
1atk	9	1	2	2	3	2	0	2	1	6	6	3	2	4	3	6	0	2	2	7
1atu	10	2	3	3	0	3	1	3	4	10	20	6	5	14	4	4	9	1	4	8
1atz	4	1	0	3	0	1	1	1	1	5	8	4	2	4	1	7	2	0	2	8
1au0	8	1	2	0	1	1	3	3	1	4	4	5	2	5	3	7	2	3	4	8
1au1	2	4	7	1	0	3	4	1	2	6	13	3	2	4	1	3	3	0	6	2
1au2	7	0	2	0	1	1	3	4	1	3	3	4	2	5	2	7	2	3	4	7
1au3	9	1	2	3	3	2	1	2	1	6	6	3	2	3	3	5	0	2	5	7
1au4	10	1	1	3	4	2	1	4	2	5	6	3	3	4	3	5	0	2	2	7
1au8	9	4	0	2	2	3	2	8	2	6	9	0	2	4	2	1	4	2	3	11
1auk	11	4	1	6	2	3	2	8	6	6	23	4	1	10	6	8	7	1	10	9
1auq	5	4	0	2	0	3	1	2	0	6	12	2	3	4	3	4	1	1	1	10
1aut	7	5	2	7	4	3	4	10	4	10	12	4	1	3	8	5	5	3	4	10
1av1	2	7	1	6	0	6	4	2	0	0	13	6	1	2	3	7	5	3	2	3
1avf	3	1	3	4	1	2	4	6	0	6	15	1	2	11	3	6	7	3	6	13
1avh	8	9	3	5	1	8	1	2	2	9	15	8	1	1	3	7	6	0	5	7
1avn	2	0	3	1	1	2	3	2	5	5	11	5	0	7	2	3	5	4	3	7
1avr	8	9	3	5	0	8	2	1	2	9	15	8	2	2	2	7	6	0	5	6
1aw0	2	2	1	1	0	4	1	4	0	6	1	1	1	1	1	3	3	0	1	5
1awb	7	3	2	5	3	6	1	7	3	6	6	3	2	5	2	4	5	1	3	9
1awe	6	3	6	2	2	5	3	3	1	7	8	6	4	6	2	3	0	2	1	2
1awf	4	3	0	2	3	2	4	11	1	6	10	3	5	4	4	5	3	2	4	10
1awh	4	4	2	3	4	5	2	9	3	4	11	2	3	5	4	6	4	6	2	7
1awo	2	1	5	2	1	3	2	5	1	2	5	3	0	2	2	2	4	2	3	4
1aww	3	2	1	3	0	5	1	2	0	2	4	2	0	1	2	3	1	2	3	3
1awx	2	2	1	1	0	3	0	1	0	2	4	2	0	1	1	1	0	2	2	3
1ax8	2	2	1	1	2	1	1	1	1	4	15	0	2	0	1	3	1	0	2	4
1axi	6	8	2	7	5	4	6	3	2	6	11	5	2	6	3	6	8	4	9	5
1axn	12	7	4	6	2	4	2	0	1	12	19	2	2	6	3	4	6	1	4	7
1ay6	4	5	0	2	2	2	4	11	1	6	10	3	5	4	2	5	3	3	4	9
1ayu	10	1	2	2	3	2	1	3	0	5	7	3	2	4	3	7	0	2	2	7
1ayv	10	2	2	3	3	2	0	2	0	5	7	3	2	4	3	6	0	2	3	7
1ayw	7	0	2	1	1	1	3	3	1	5	3	4	3	5	2	6	1	3	5	7
1az1	6	3	4	4	3	4	4	5	4	12	6	3	2	5	6	4	4	3	4	12
1az2	5	2	4	4	4	3	5	5	4	10	7	2	1	5	7	4	4	4	5	12
1azg	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1azm	2	0	3	3	1	4	1	2	8	5	9	2	1	7	4	3	1	4	4	7
1azv	4	1	1	2	2	0	0	5	3	7	5	3	0	2	0	2	2	0	0	10
1azx	11	6	10	9	4	6	3	6	2	11	20	13	4	11	7	13	11	1	4	10
1b08	4	0	1	0	2	4	3	2	0	1	5	3	0	4	1	0	2	0	0	3
1b0f	8	3	1	3	1	2	1	5	1	7	5	0	3	4	2	4	1	3	1	8
1b0g	2	7	3	7	4	6	5	4	3	6	8	4	3	8	5	7	5	4	12	11
1b0l	19	16	4	9	13	10	2	19	3	8	20	11	3	8	9	14	9	4	14	21
1b0r	8	8	1	7	2	3	6	4	9	3	6	3	5	7	2	7	8	7	10	7
1b22	7	0	2	2	0	6	1	0	1	5	5	6	0	1	1	1	1	0	1	1
1b2i	1	3	3	1	4	3	1	1	1	2	3	4	0	1	3	3	3	3	3	0
1b2y	8	10	8	7	1	5	4	3	4	13	11	4	6	11	3	8	4	4	9	15
1b3e	9	1	2	4	7	2	3	9	4	2	10	4	0	8	6	8	7	1	9	9
1b3k	10	5	5	3	0	4	7	5	3	6	13	2	5	11	9	7	6	2	6	6
1b3u	12	5	5	5	4	12	5	6	2	10	27	10	3	8	5	9	3	3	1	14
1b41	12	7	6	5	0	7	2	18	4	3	18	0	3	13	7	11	2	9	10	25
1b47	6	5	2	5	2	4	4	2	2	5	10	4	3	8	3	6	7	3	3	0
1b4f	0	1	2	1	0	0	3	0	1	4	2	3	6	1	0	3	0	1	1	3
1b4g	1	2	1	0	2	2	0	2	0	1	1	4	2	0	2	5	1	0	1	2
1b4i	1	2	1	0	2	2	0	2	0	1	1	4	2	0	1	4	1	0	1	2
1b4r	8	1	0	3	0	1	0	4	3	1	6	0	0	2	2	2	4	1	2	4
1b50	4	2	0	2	4	2	2	1	0	3	2	1	0	4	3	4	5	1	3	3
1b53	2	2	0	0	4	0	2	1	0	3	0	1	0	2	2	0	4	1	2	3
1b55	1	3	0	0	1	2	5	2	1	7	5	3	1	6	2	3	1	1	4	4
1b5g	5	4	0	2	2	2	4	10	1	7	10	4	5	4	4	5	4	3	4	10
1b5u	3	2	2	0	4	1	3	1	0	2	4	1	1	1	0	1	0	3	4	2
1b5v	4	2	2	0	4	1	3	1	0	2	4	1	1	1	0	1	0	3	4	4
1b5w	4	2	2	0	4	1	3	1	0	3	4	1	1	1	0	0	0	3	4	2
1b5x	3	2	2	0	4	1	3	1	0	3	4	1	1	1	0	0	0	4	4	3
1b5y	3	1	2	1	4	1	3	1	0	2	3	1	1	1	0	1	0	4	4	3
1b5z	3	4	1	0	3	3	2	3	0	1	2	3	1	2	0	1	2	1	4	2
1b64	4	1	1	3	2	4	4	3	0	4	7	3	2	0	1	3	2	1	1	8
1b68	2	4	0	1	0	1	3	0	0	0	18	2	2	1	0	1	2	1	3	4
1b6c	7	10	4	8	0	6	4	6	2	5	12	5	0	4	1	7	2	4	8	6
1b6u	3	3	0	2	4	2	2	3	2	3	11	1	2	5	4	9	2	1	4	6
1b7l	2	2	2	0	4	1	3	1	0	3	5	1	1	1	0	2	0	3	4	3
1b7m	2	2	2	0	5	2	3	0	0	2	4	1	2	1	0	2	0	3	4	4
1b7n	4	2	2	0	4	0	3	1	0	2	5	1	1	1	0	0	0	3	4	2
1b7o	3	4	2	0	4	1	3	1	0	2	4	1	1	1	0	1	0	3	4	3
1b7p	4	3	2	0	4	1	3	1	0	2	4	1	1	1	0	1	0	3	4	1
1b7q	3	3	2	0	5	1	3	1	0	3	4	1	1	1	0	2	0	3	4	3
1b7r	3	2	2	0	4	1	2	3	0	2	3	1	1	1	0	1	0	3	4	3
1b7s	4	2	3	0	4	1	3	1	0	2	4	1	1	1	0	3	0	4	4	2
1b7x	3	1	1	5	5	3	4	9	1	5	8	2	3	4	3	5	3	5	2	9
1b86	5	2	4	1	1	2	2	5	2	0	6	2	1	1	3	0	1	1	2	9
1b8m	4	11	0	3	7	1	2	3	1	5	4	3	0	4	0	3	6	4	3	9
1b98	3	5	0	2	5	1	1	0	1	2	2	2	0	2	0	1	3	3	0	5
1b9g	2	1	0	0	2	2	0	0	0	0	3	0	1	1	1	0	0	0	1	1
1ba4	2	1	1	3	0	3	1	3	1	2	2	2	1	3	0	2	0	0	1	3
1ba6	3	1	1	3	0	3	1	6	3	2	2	2	0	3	0	1	0	0	1	6
1ba8	4	3	0	3	2	2	4	10	1	6	8	3	5	4	2	5	3	3	4	11
1ba9	4	3	2	5	1	2	2	12	7	7	5	5	0	3	0	2	3	1	0	10
1bab	2	2	3	1	1	1	2	0	1	0	2	1	0	3	1	0	1	1	2	4
1bas	2	4	0	0	2	2	0	1	0	4	6	0	1	5	0	1	0	0	3	3
1bb0	3	3	0	2	2	2	3	10	1	6	9	2	5	4	4	5	3	3	4	11
1bb3	6	3	3	3	4	0	1	1	1	3	5	2	1	1	0	2	3	3	3	3
1bb4	6	3	2	3	4	0	1	1	1	2	5	2	1	1	0	3	3	2	3	3
1bb5	6	3	3	3	4	0	1	1	1	2	5	1	1	1	0	3	3	3	3	3
1bbb	3	2	3	1	1	2	2	2	3	0	6	0	0	4	2	1	1	1	2	3
1bbo	0	2	2	0	4	1	0	2	4	2	2	8	2	2	2	2	4	0	3	0
1bbr	1	1	0	1	0	1	0	3	0	0	1	0	0	1	0	0	0	0	0	1
1bbs	6	1	2	5	0	2	5	7	1	14	6	0	4	11	1	7	10	2	7	9
1bbz	0	0	3	1	1	1	0	1	1	0	1	0	0	1	1	2	1	2	2	0
1bcd	4	2	3	1	1	2	3	2	6	5	13	4	0	5	2	3	5	4	3	8
1bcu	5	3	0	2	3	2	3	7	1	7	9	3	5	4	3	4	4	2	4	10
1bd2	5	8	1	5	3	2	8	4	6	0	7	3	3	9	4	8	10	6	9	9
1bf5	6	11	5	0	4	13	15	5	3	14	34	16	4	13	8	14	9	9	2	13
1bf9	0	1	1	0	6	1	1	2	0	1	1	1	0	1	2	3	1	0	1	0
1bfb	3	2	3	1	1	0	3	0	0	3	8	5	0	3	0	1	1	0	4	2
1bfc	3	2	2	1	1	0	2	1	0	3	9	6	1	3	0	1	1	0	4	3
1bff	2	5	1	0	2	2	0	2	0	3	4	1	1	5	0	1	1	0	2	4
1bfg	2	4	2	0	0	2	0	0	0	3	10	3	1	3	1	0	0	0	5	2
1bgo	6	2	2	2	3	2	2	3	2	4	3	4	1	2	2	6	0	2	5	10
1bh5	3	4	3	11	2	7	3	5	2	5	10	12	1	7	5	3	6	3	5	4
1bh7	0	1	0	2	0	0	1	0	1	1	2	2	1	1	3	0	1	0	2	1
1bh8	1	0	0	0	1	5	1	1	0	2	3	1	3	2	0	0	1	0	0	5
1bh9	1	0	0	0	0	4	1	1	0	2	3	1	3	2	1	0	0	0	0	5
1bhd	2	1	1	4	0	1	0	0	1	2	6	2	0	4	1	0	1	2	2	4
1bhf	1	5	1	1	1	2	0	1	1	3	5	2	0	2	1	6	2	1	2	2
1bhg	12	10	7	9	3	19	6	10	8	10	16	8	5	12	8	15	11	2	11	14
1bhh	2	2	2	1	0	5	1	2	3	2	7	1	0	5	2	3	1	1	2	3
1bho	2	2	1	3	0	1	3	2	1	7	7	3	3	3	1	2	4	0	3	8
1bhq	2	2	1	3	0	2	3	2	1	7	7	2	3	3	0	2	4	0	3	8
1bht	1	1	4	4	5	3	2	1	0	5	3	6	1	6	1	2	4	1	4	2
1bhx	5	5	0	2	3	2	4	10	1	7	10	4	5	4	2	5	4	3	4	11
1bi7	7	7	1	3	0	1	1	2	1	1	3	0	3	0	3	0	2	0	1	4
1bic	3	1	3	3	1	2	2	2	7	5	11	5	0	6	2	3	4	4	4	8
1bij	3	1	3	1	1	1	2	1	0	0	3	0	0	1	1	0	0	1	2	4
1bil	8	3	2	7	1	3	5	11	2	7	8	2	3	11	3	9	11	3	10	6
1bim	8	3	3	6	1	3	5	10	2	7	7	1	4	11	3	8	11	3	11	6
1bio	7	5	0	3	2	2	2	7	4	4	10	0	2	0	1	7	3	1	2	9
1bix	2	3	2	6	4	4	3	3	1	5	19	1	0	5	3	5	5	4	2	7
1bj5	10	14	4	10	11	14	8	3	4	4	29	10	1	12	10	9	1	1	9	15
1bj8	1	3	2	1	1	3	2	1	0	4	3	2	0	2	3	5	2	4	2	2
1bjb	2	1	0	2	0	3	1	1	3	0	1	1	0	3	0	1	0	0	1	2
1bjc	2	1	0	3	0	3	1	1	3	0	1	1	0	4	0	1	0	0	1	2
1bka	19	17	4	8	12	9	1	16	4	8	17	9	3	9	9	15	9	4	13	20
1bkd	6	13	5	6	2	16	4	6	4	17	23	7	3	11	8	10	15	3	11	19
1bke	12	14	5	9	8	12	6	3	7	5	28	11	1	11	11	9	1	1	10	14
1bkr	3	1	3	2	1	1	0	1	1	5	4	1	1	5	1	1	1	1	2	1
1bla	4	4	2	0	2	0	3	2	0	4	9	6	1	5	1	1	1	0	3	4
1bld	4	4	3	1	2	1	3	4	0	4	9	8	2	5	1	3	1	0	5	5
1blf	22	14	5	12	5	7	7	12	3	7	22	15	2	5	7	12	12	6	6	23
1bm0	18	11	5	12	13	25	8	4	5	5	17	21	3	11	8	9	3	0	6	9
1bm7	2	0	0	1	0	3	0	0	3	2	3	1	1	3	1	0	5	0	3	6
1bml	6	3	2	2	6	5	3	13	3	2	7	4	1	3	4	2	4	1	2	4
1bmm	5	4	2	3	2	3	3	8	2	4	15	2	5	3	2	5	3	4	5	9
1bmn	4	4	2	3	4	5	2	10	2	5	10	3	4	3	5	5	3	7	4	7
1bmp	5	2	2	0	3	1	2	0	3	1	3	4	1	0	2	0	2	1	5	4
1bmq	5	4	0	3	3	1	2	0	2	9	11	4	3	8	3	7	3	2	3	5
1bmz	3	0	0	1	0	3	0	0	3	2	3	2	1	4	1	1	4	0	3	6
1bn1	4	3	3	0	1	3	3	2	5	4	12	4	0	7	2	3	5	4	2	8
1bn3	4	2	3	1	1	3	2	2	6	5	12	6	0	7	2	3	5	4	2	8
1bn4	5	3	3	1	1	3	2	2	5	5	13	4	0	8	4	3	5	4	2	9
1bnd	1	3	0	1	3	1	3	0	1	3	3	1	0	1	0	2	5	2	3	6
1bnl	5	5	1	3	0	3	1	2	3	1	6	2	0	4	3	5	0	1	1	5
1bnm	4	3	3	1	1	3	2	3	5	5	12	4	0	7	3	3	5	4	2	9
1bnn	5	2	3	0	1	3	3	3	5	6	14	4	0	7	3	3	5	4	3	9
1bnq	3	1	3	1	1	3	3	2	5	6	11	4	0	6	3	3	5	4	2	7
1bnt	4	0	3	1	1	3	2	2	5	5	11	4	0	7	2	3	5	4	2	8
1bnu	3	0	3	1	1	2	3	2	6	6	11	5	0	6	2	3	5	3	2	7
1bnv	4	3	3	1	1	2	2	3	5	6	12	4	0	7	2	3	6	4	3	9
1bnw	4	3	3	3	1	3	2	3	5	6	12	5	0	8	2	3	5	4	2	9
1bnx	3	1	0	2	0	1	0	3	0	4	4	1	0	3	2	2	2	0	4	1
1bor	0	0	0	0	3	1	0	0	1	0	3	1	1	1	2	1	1	1	0	0
1boy	3	4	2	1	1	3	2	0	0	6	8	1	1	7	5	3	7	3	8	9
1bp3	4	9	2	6	3	8	5	3	2	6	16	7	3	6	6	4	5	6	5	5
1bp5	12	5	3	5	6	5	3	10	2	3	14	4	0	5	7	4	5	1	12	8
1bpv	1	2	3	1	0	5	0	1	0	4	1	4	0	3	5	4	2	2	2	5
1bqq	6	0	2	5	0	5	1	7	6	2	4	0	2	5	5	0	2	2	2	1
1bqs	8	4	0	0	4	2	3	1	3	1	14	1	1	4	5	7	5	1	2	12
1bqt	5	3	1	3	5	4	0	2	0	1	4	2	1	3	4	1	2	0	2	3
1bqu	3	3	4	3	1	6	2	3	1	4	8	4	1	3	5	2	5	5	3	2
1br8	6	6	4	5	0	6	3	3	1	12	16	8	3	16	5	11	6	1	4	7
1brc	2	2	1	0	2	1	0	0	0	1	0	0	1	2	1	1	0	1	2	0
1bsi	8	11	6	10	2	5	3	12	5	8	10	2	3	10	5	8	5	7	9	15
1bsx	6	4	1	3	5	4	1	4	3	8	14	6	5	9	6	3	4	0	0	8
1bth	3	7	3	7	3	6	4	13	1	5	7	6	3	5	4	4	5	4	6	7
1btj	8	2	3	8	6	5	3	4	4	2	10	10	0	8	2	7	7	1	6	12
1btk	0	2	1	0	4	2	3	1	2	5	6	3	0	7	2	2	1	2	4	4
1btq	0	0	0	0	0	0	0	1	0	3	2	0	0	3	1	1	0	0	1	1
1btr	5	0	0	0	0	0	0	1	0	3	2	0	0	3	1	1	1	0	1	2
1bts	0	0	0	0	0	1	1	1	0	2	5	0	0	1	0	1	0	0	0	2
1btt	3	0	0	0	0	1	1	3	0	2	5	0	0	1	0	2	1	0	0	2
1bu9	10	6	6	6	0	4	4	3	3	3	14	3	1	4	3	0	5	0	0	5
1bui	6	3	1	3	8	3	4	16	5	1	8	5	0	3	6	3	5	3	1	7
1buv	6	0	2	5	0	5	1	7	6	2	4	0	2	5	5	0	2	2	2	1
1buw	1	2	3	1	1	2	1	1	2	0	4	0	0	1	2	1	1	1	1	6
1buy	4	1	0	1	0	3	4	4	1	2	16	4	0	4	1	2	2	1	3	7
1bv3	3	0	3	1	1	3	2	2	5	5	11	4	0	7	2	3	5	4	2	9
1bwc	15	5	1	2	5	6	1	15	3	16	13	4	7	5	6	12	13	2	6	16
1bwn	1	3	0	0	2	1	5	2	1	6	5	3	1	7	2	3	1	1	5	4
1bwx	1	2	2	1	0	3	2	2	2	1	6	3	2	1	0	3	0	1	0	2
1bx2	3	6	2	1	2	4	4	1	2	1	2	1	0	5	1	2	3	1	4	3
1bxl	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
1by2	2	2	1	3	1	2	0	1	0	1	5	0	1	1	0	0	2	2	0	5
1by6	3	1	0	3	0	3	1	1	0	1	4	1	1	1	0	4	4	0	2	3
1by7	6	4	2	1	1	3	3	2	3	7	19	1	9	20	5	6	3	2	6	10
1by8	8	3	7	0	3	5	4	8	4	6	5	6	3	2	3	5	2	5	6	7
